news;source;label
le coronavirus est transmis par la nourriture chinoise;doctissimo.fr;0
il y a de risque avec les colis envoyés de Chine;doctissimo.fr;0
Le vaccin peut provoquer un résultat positif lors d’un test de dépistage;unric.org;0
Le masque à l’extérieur est inutile;unric.org;0
Le vaccin a un impact sur la fertilité;unric.org;0
Les vaccinés ne doivent pas donner leur sang;unric.org;0
Les femmes enceintes ne peuvent pas se faire vacciner;unric.org;0
Les vaccins à ARN messager modifient l’ADN;unric.org;0
Les compléments alimentaires efficaces contre la COVID-19;unric.org;0
Je suis vacciné(e), je peux enlever mon masque;unric.org;0
Les personnes asymptomatiques ne transmettent pas la COVID-19;unric.org;0
L’OMS a interdit les autopsies des morts du COVID-19;unric.org;0
Un vaccin efficace à 90% est dangereux pour 10% des gens;unric.org;0
Un vaccin signifie la fin immédiate de la pandémie;unric.org;0
Les hôpitaux touchent une prime de 5 000 euros par décès COVID-19;unric.org;0
Les masques chirurgicaux provoquent des intoxication au CO2;unric.org;0
Il faut porter un masque lorsque l’on fait du sport;unric.org;0
Les pièces et billets de banque peuvent être vecteurs de propagation du virus COVID-19;unric.org;0
La meilleure protection contre le COVID-19 est de porter des gants en latex;unric.org;0
Respirer la fumée et les gaz des feux d’artifice ou des pétards peut protéger du COVID-19;unric.org;0 
Les scanners thermiques peuvent détecter le virus du COVID-19;unric.org;0
L’utilisation prolongée de masques chirurgicaux peut provoquer une intoxication au CO2 ou des carences en oxygène;unric.org;0
Ajouter du piment à vos plats prévient et guérit le virus COVID-19;unric.org;0
Les mouches peuvent transmettre le COVID-19;unric.org;0
La consommation de méthanol, d’éthanol ou d’eau de Javel peut protéger contre le virus du COVID-19;unric.org;0
Le froid et la neige peuvent tuer le virus COVID-19;unric.org;0
On peut être infecté plusieurs fois par le coronavirus COVID-19;unric.org;0
Les réseaux mobiles 5G diffusent le coronavirus COVID-19;unric.org;0
Boire de l’alcool protège contre le coronavirus COVID-19;unric.org;0
S’exposer au soleil ou à des températures supérieures à 25°C empêche de contracter la maladie du COVID-19;unric.org;0
Retenir sa respiration pendant 10 secondes ou plus sans tousser ni se sentir gêné signifie que l’on est épargné par le COVID-19 ou tout autre maladie pulmonaire;unric.org;0
Mon chat ou mon chien peut transmettre le COVID-19.;unric.org;0
Il est dangereux de prendre de l’Ibuprofène;unric.org;0
Je suis jeune, je ne risque rien ;unric.org;0
La maladie du coronavirus COVID-19 est la même que la grippe;unric.org;0
Le coronavirus COVID-19 peut être transmis par les piqûres de moustiques;unric.org;0
Prendre un bain chaud protège contre le nouveau coronavirus;unric.org;0
Certains vaccins protègent contre le nouveau coronavirus;unric.org;0
Les antibiotiques sont efficaces pour prévenir et traiter l’infection par le nouveau coronavirus;unric.org;0
Les sèche-mains à air chaud sont efficaces pour tuer le COVID 19 ;unric.org;0
Je peux me protéger en pulvérisant de l’alcool ou du chlore sur mon corps;unric.org;0
Se rincer régulièrement le nez avec une solution saline peut-il aider à prévenir l’infection;unric.org;0
Manger de l’ail peut aider à prévenir l’infection;unric.org;0
Il faut consommer des boissons chaudes et ne pas manger de glaces;unric.org;0
Une lampe de stérilisation/désinfection aux ultraviolets peut tuer le coronavirus COVID-19;unric.org;0
Le fait de mettre de l’huile de sésame empêche le coronavirus COVID-19 de pénétrer dans l’organisme;unric.org;0
le virus vient de la soupe de chauve-souris;doctissimo.fr;0
le virus a été créé par les Américains;doctissimo.fr;0
le temps froid et la neige tuent le coronavirus;doctissimo.fr;0
le virus peut être transmis via la monnaie;doctissimo.fr;0
le virus se projette sur de longues distances dans lair;doctissimo.fr;0
leCovid-19 est transmis par les moustiques;doctissimo.fr;0
le sèche-mains, les désinfections UV tuent le coronavirus;doctissimo.fr;0
les animaux domestiques peuvent transmettre le virus;doctissimo.fr;0
les vaccins contre la pneumonie protègent du Covid-19;doctissimo.fr;0
le virus touche seulement les personnes âgées;doctissimo.fr;0
les antibiotiques sont efficaces face au virus;doctissimo.fr;0
il y a de remèdes naturels contre le coronavirus;doctissimo.fr;0
la cocaïne est un traitement contre COVID-19;doctissimo.fr;0
la vitamine C est un moyen de prévention ou un traitement contre le COVID-19;doctissimo.fr;0
létiquette de ce gel désinfectant prouve que le COVID-19 existe depuis longtemps;doctissimo.fr;0
le coronavirus est un mélange de SRAS et de VIH eta été créé en laboratoire;doctissimo.fr;0
le virus est une invention de lInstitut Pasteur;doctissimo.fr;0
la pulvérisation dalcool ou de chlore sur tout le corps peut tuer le nouveau coronavirus (nCoV);doctissimo.fr;0
prendre un bain chaud protège contre le nouveau coronavirus;doctissimo.fr;0
il faut passer ses objets au micro-onde pour les désinfecter;doctissimo.fr;0
linfection à prevotella est à lorigine du Covid-19;doctissimo.fr;0
la CPI a accepté une plainte pour violation du code de Nuremberg;hoaxbuster.com;0
[debunk] Vidéo Coronacircus;hoaxbuster.com;0
la visite de Mike Pompeo a déclenché le déconfinement;hoaxbuster.com;0
Le cirque de la (fausse) circulaire en circulation;hoaxbuster.com;0
les hôpitaux font leur beurre sur les morts de la COVID-19;hoaxbuster.com;0
de camps de quarantaine en  Nouvelle-Zélande;hoaxbuster.com;0
En pleine épidémie de Covid19, une photo dune gare bondée fait le buzz;hoaxbuster.com;0
Reconnaître et éliminer le Covid-19 : attention, cette publication contient de fausses affirmations;hoaxbuster.com;0
le couvre-feu est illégal;hoaxbuster.com;0
le directeur Général de l’OMS a accepté les remèdes trouvés à Madagascar et en RDC contre le COVID-19;hoaxbuster.com;0
Linauguration par la France du Laboratoire P4 à Wuhan : une réalité non dissimulée;hoaxbuster.com;0
Covid-19 : épidémie de fake news;hoaxbuster.com;0
Masques DIY pour tous;hoaxbuster.com;0
Emmanuel Macron se rend au fort de Brégançon durant le confinement;hoaxbuster.com;0
le gouvernement a publié cette carte de «déconfinement;hoaxbuster.com;0
le gouvernement a autorisé leuthanasie des personnes âgées;hoaxbuster.com;0
l’attestation de déplacement numérique permet de collecter des données contenues dans votre téléphone;hoaxbuster.com;0
Didier Raoult a alerté lAfrique sur un faux vaccin anti Covid-19;hoaxbuster.com;0
la 5G est responsable du coronavirus;hoaxbuster.com;0
Levy, Buzin et Raoult, scandale d’État ou simple hoax ;hoaxbuster.com;0
aucun hôpital français préconise de «congeler son pain en vue du «stade dinfection maximale;hoaxbuster.com;0
la France dépense cinquante fois plus pour la défense que pour la santé;hoaxbuster.com;0
La chloroquine interdite par un arrêté en janvier 2020 ;hoaxbuster.com;0
LOMS fait le point sur les fausses rumeurs;hoaxbuster.com;0
Le faux message alarmiste d’une infirmière du CHU;hoaxbuster.com;0
il existe de prime de confinement de 28€ par jour de confinement;hoaxbuster.com;0
le ministre de lEducation a annoncé le report des vacances dété dans une lettre.;hoaxbuster.com;0
l’Institut Pasteur a inventé le coronavirus en 2004.;hoaxbuster.com;0
ceux qui ont répondu par SMS quils sortiraient malgré le confinement, sont convoqués au tribunal de Nanterre.;hoaxbuster.com;0
Un train qui stocke le vaccin du Covid-19  Pas si vite !;hoaxbuster.com;0
retenir son souffle permet de détecter une infection au Covid-19.;hoaxbuster.com;0
Cristiano Ronaldo a transformé ses hôtels en hôpitaux pour accueillir les malades du coronavirus.;hoaxbuster.com;0
Emmanuel Macron a annoncé un report des cours à lété à cause du coronavirus.;hoaxbuster.com;0
Franceinfo a annoncé un couvre-feu à 18h.;hoaxbuster.com;0
le CHU de Toulouse confirme la rumeur évoquant «quatre cas graves de coronavirus touchant des jeunes.;hoaxbuster.com;0
un livre publié en 1981 a prédit le coronavirus.;hoaxbuster.com;0
la vitamine C est un traitement du Covid-19;hoaxbuster.com;0
boire des boissons chaudes « neutralise  le coronavirus;hoaxbuster.com;0
le gel désinfectant pour les mains favorise le cancer.;hoaxbuster.com;0
la cocaïne soigne le virus.;hoaxbuster.com;0
les Simpson avaient prédit larrivée du coronavirus.;hoaxbuster.com;0
il est recommandé de se raser la barbe.;hoaxbuster.com;0
la viande de bœuf fait office de vaccin contre le virus.;hoaxbuster.com;0
lalcool tue le virus;hoaxbuster.com;0
on peut direque seules les personnes présentant des symptômes sont contagieuses.;hoaxbuster.com;0
La soupe à la chauve-souris, un plat prisé en Chine  Autopsie de la rumeur sur lorigine du coronavirus;hoaxbuster.com;0
une solution saline suffit à contrer la maladie.;hoaxbuster.com;0
Les ondes 5G sont responsables de la pandémie de Covid;blog.digimind.com;0
Le coronavirus contient des insertions de VIH créées par lhomme;blog.digimind.com;0
La pulvérisation dalcool ou chlore tue le coronavirus;blog.digimind.com;0
Le vaccin de Bill Gates contiendra une puce de suivi;blog.digimind.com;0
De très fortes doses de Vitamine C constituent une protection ou traitement contre la COVID;blog.digimind.com;0
L’ail peut guérir de la COVID;blog.digimind.com;0
Passer les objets au micro-onde les désinfecte du virus;blog.digimind.com;0
La cocaïne est un traitement contre la COVID;blog.digimind.com;0
Le virus a été créé artificiellement en laboratoire;blog.digimind.com;0
Lartemisia : remède contre Covid reconnu par OMS;blog.digimind.com;0
Boire du thé au fenouil protège contre le virus;blog.digimind.com;0
Lapplication StopCovid vous géolocalise;blog.digimind.com;0
Un bain chaud protège contre le coronavirus;blog.digimind.com;0
Il est recommandé de se raser la barbe pour éviter la contagion;blog.digimind.com;0
Le Virus Nipah venu dInde est plus dangereux que la Covid;blog.digimind.com;0
Les Simpson avaient prédit larrivée du coronavirus;blog.digimind.com;0
Le gel hydroalcoolique peut exploser ou prendre feu au soleil;blog.digimind.com;0
Le virus a été créé par l’Institut Pasteur;blog.digimind.com;0
Les preuves que lhydroxychloroquine est efficace pour les malades du Covid existent;blog.digimind.com;0
L’argent colloïdal guérit de la COVID;blog.digimind.com;0
Les fumeurs sont moins sensibles au coronavirus;blog.digimind.com;0
Le virus vient de la soupe de chauve-souris;blog.digimind.com;0
Le gouvernement autorise leuthanasie des personnes agées;blog.digimind.com;0
Un laboratoire financé par Bill Gates a déposé le brevet du coronavirus;blog.digimind.com;0
Le virus a été créé par les laboratoires pharmaceutiques;blog.digimind.com;0
La Covid se traite avec de laspirine et du jus de citron;blog.digimind.com;0
La pandémie de Covid a été prédite lors dune simulation de Bill Gates;blog.digimind.com;0
La France est le pays le plus touché par la Covid en Europe;blog.digimind.com;0
Une étude sur le 1er tour des Municipales en France fait état de milliers morts;blog.digimind.com;0
Lapplication StopCovid sinstalle automatiquement sur votre téléphone;blog.digimind.com;0
La Solution Minérale Miracle guérit de la COVID;blog.digimind.com;0
Les hôpitaux sont en fait vides : La Covid est un mensonge dÉtat;blog.digimind.com;0
Le coronavirus a été créé en 2013;blog.digimind.com;0
